cohort_name,cohortId,atlasId
Excluded from all trials testing APA,1636,1636
Excluded from all trials testing DARO,1635,1635
Excluded from all trials testing ENZA,1634,1634
Excluded from trials testing docetaxel,1633,1633
Newly diagnosed mPCa [Stampede treatments],1632,1632
Newly diagnosed mPCa [ADT + RT],1631,1631
Newly diagnosed mPCa [PEACE1 treatment],1630,1630
Newly diagnosed mPCa [ADT + ENZA],1629,1629
Newly diagnosed mPCa [ADT monotherapy],1628,1628
Newly diagnosed mPCa [ADT + ABI],1627,1627
Newly diagnosed mPCa [ADT + APA],1626,1626
Newly diagnosed mPCa [ADT+Docetaxel+Darolutamide],1625,1625
Newly diagnosed mPCa [ADT + Docetaxel],1624,1624
CVD from TITAN exclusion criteria ,1621,1621
CVD from NCT02058706 exclusion criteria ,1620,1620
CVD from STAMPEDE exclusion criteria ,1619,1619
CVD from PEACE 1 exclusion criteria ,1618,1618
CVD from SWOG-1216 exclusion criteria ,1617,1617
CVD from GETUG-AFU-15 exclusion criteria ,1616,1616
CVD from ENZAMET exclusion criteria ,1615,1615
CVD from CHAARTED exclusion criteria ,1614,1614
CVD from ARCHES exclusion criteria ,1613,1613
CVD from ARASENS exclusion criteria  ,1612,1612
Excluded from all trials except HORRAD ,1611,1611
Excluded from all trials ,1610,1610
Grouped hypertension [complications+ drug resistant],1609,1609
Inadequate renal function,1608,1608
Inadequate liver function,1606,1606
AST above 100 units per liter,1605,1605
ALT above 100 units per liter,1604,1604
Metastasis to Brain,1603,1603
Dialysis,1602,1602
ALT or AST above 100 units per liter,1601,1601
Metastasis to CNV,1600,1600
ECOG above 2,1599,1599
ECOG above 1,1598,1598
Arterial thrombosis,1597,1597
Pulmonary embolism,1596,1596
Thromboembolism,1595,1595
Resistant hypertension,1594,1594
Hypertensive Crisis,1593,1593
Hypotension,1592,1592
Stage 2 hypertension + Proxies,1591,1591
Malignant Hypertension,1590,1590
Hypertensive complications,1589,1589
Coronary artery disease,1588,1588
congenital cardiac disorders [insufficiency],1587,1587
Angina_broad,1586,1586
Arterial bypass graft,1585,1585
Myocardial Infarction,1584,1584
Serious arrhythmias,1583,1583
Heart failure,1582,1582
Acute coronary syndrome final [ including Acute ischemic heart disease],1581,1581
Unstable angina,1580,1580
Cardiac arrest,1579,1579
Peripheral neuropathy,1578,1578
Cerebral edema,1577,1577
Loss of conciousness,1576,1576
Seizures,1575,1575
Ischemic stroke_cond_final,1574,1574
Stroke,1573,1573
"Leukopenia, Neutropenia, Thrombocytopenia, Anemia",1572,1572
Liver failure,1571,1571
HBV or HCV,1569,1569
Secondary adrenal insufficiency,1568,1568
Primary adrenal insufficiency,1567,1567
Renal failure,1566,1566
HIV positive,1565,1565
Dementia,1564,1564
Small cell carcinoma of the prostate,1563,1563
Active chronic liver disease,1562,1562
End stage renal disease,1561,1561
"CKD stages 4,5",1560,1560
ARASENS exclusion criteria ,1547,1547
ARCHES exclusion criteria ,1546,1546
CHAARTED exclusion criteria ,1545,1545
ENZAMET exclusion criteria ,1544,1544
GETUG-AFU-15 exclusion criteria ,1543,1543
 SWOG-1216 exclusion criteria ,1542,1542
NCT02058706 exclusion criteria ,1541,1541
PEACE 1 exclusion criteria ,1540,1540
Matches the exclusion criteria of any trial ,1539,1539
STAMPEDE exclusion criteria ,1538,1538
TITAN exclusion criteria ,1537,1537
HORRAD exclusion criteria ,1536,1536
